Auction No,Issue date,Amount offered in Auction,Total bids (Competitive & Uncompetitive), Over/(Under) Subscribed ,   Face Value ,   Cost Value ,   Interest due , Date due,Duration,Implicit annual,Clearing ,Lowest Factor ,Weighted Average Price,Average Discount Factor,Money Market yield,Annualised , Rejected Amount ,Bid-to-cover
,-1, (1a) , (1b) ,,-2,-3,-4,-5,-6,-9,-10,-11,-12,-13,,,,
,,,,,,,,,,,,,,,,,,
615,06-Jul-05,"8,000,000,000","12,195,000,000","4,195,000,000","8,000,000,000","7,602,655,858","397,344,142",19-Jan-06,182,,,,95.033,9.961,,10.481,"1,813",
616,20-Jul-05,"9,000,000,000","9,896,700,000","896,700,000","9,000,000,000","8,552,557,338","447,442,662",01-Jul-00,182,,,,95.028,9.97,,10.492,"1,811",
,,,,,,,,,,,,,,,,,,
617,03-Aug-05,"9,000,000,000","16,539,700,000","7,539,700,000","9,000,000,000","8,557,478,445","442,521,555",16-Feb-06,182,,,,95.083,9.861,,10.371,"1,833",
618,17-Aug-05,"9,000,000,000","20,569,300,000","11,569,300,000","8,999,700,000","8,564,138,430","435,561,570",02-Mar-06,182,,,,95.16,9.706,,10.2,"1,866",
619,31-Aug-05,"9,000,000,000","15,344,700,000","6,344,700,000","9,000,000,000","8,569,558,915","430,441,085",01-Jul-00,182,,,,95.217,9.592,,10.073,"1,890",
,,,,,,,,,,,,,,,,,,
620,14-Sep-05,"14,000,000,000","20,330,300,000","6,330,300,000","14,000,000,000","13,342,793,848","657,206,152",30-Mar-06,182,,,,95.306,9.414,,9.878,"1,930",
621,28-Sep-05,"14,000,000,000","19,626,500,000","5,626,500,000","14,000,000,000","13,355,942,840","644,057,160",01-Jul-00,182,,,,95.4,9.226,,9.671,"1,973",
,,,,,,,,,,,,,,,,,,
622,12-Oct-05,"14,000,000,000","19,043,900,000","5,043,900,000","14,000,000,000","13,362,276,201","637,723,799",27-Apr-06,182,,,,95.445,9.135,,9.571,"1,995",
623,26-Oct-05,"11,000,000,000","20,629,300,000","9,629,300,000","10,999,900,000","10,505,275,115","494,624,885",01-Jul-00,182,,,,95.503,9.018,,9.443,"2,023",
,,,,,,,,,,,,,,,,,,
624,09-Nov-05,"12,000,000,000","20,675,200,000","8,675,200,000","11,999,800,000","11,471,640,138","528,159,862",25-May-06,182,,,,95.599,8.827,,9.233,"2,071",
625,23-Nov-05,"12,000,000,000","13,700,000,000","1,700,000,000","12,000,000,000","11,476,749,955","523,250,045",01-Jul-00,182,,,,95.64,8.745,,9.143,"2,093",
,,,,,,,,,,,,,,,,,,
